Word,Definition,Part of Speech,Synonyms,Antonyms
dishonest,Behaving or prone to behave in an untrustworthy or fraudulent way,"adjective, noun","deceitful, fraudulent","honest, truthful"
dishonestly,"In an untrustworthy, deceitful, or fraudulent manner",adverb,"deceitfully, fraudulently","honestly, truthfully"
disk,"A flat, thin, round object","noun, verb","disc, platter",none
dislike,Feel distaste for or hostility towards,"verb, noun","hate, loathe","like, love"
dismiss,Order or allow to leave; send away,"verb, noun","send away, discharge","accept, keep"
display,Make a prominent exhibition of (something) in a place where it can be easily seen,"verb, noun","exhibit, show","hide, conceal"
dissolve,With reference to a solid) become or cause to become incorporated into a liquid so as to form a solution,"verb, noun","melt, liquefy","solidify, coagulate"
distance,An amount of space between two things or people,"noun, verb","gap, interval","closeness, nearness"
distinguish,Recognize or treat (someone or something) as different,"verb, noun","differentiate, discern","confuse, mix up"
distribute,Give shares of (something); deal out,"verb, noun","dispense, allocate","collect, gather"
district,"An area of a country or city, especially one regarded as a distinct unit because of a particular characteristic","noun, verb","area, region",none
disturb,"Interrupt the quiet, peace, or order of; unsettle","verb, noun","disrupt, unsettle","calm, soothe"
disturbing,Causing anxiety or uneasiness; upsetting,"adjective, verb","upsetting, troubling","comforting, calming"
divide,Separate or be separated into parts,"verb, noun","separate, split","unite, join"
division,"The action of separating something into parts, or the process of being separated","noun, verb","partition, section","unification, integration"
divorce,The legal dissolution of a marriage by a court or other competent body,"noun, verb","separation, annulment","marriage, union"
divorced,Legally separated from a spouse through divorce,"adjective, verb","separated, annulled",married
do,"Perform (an action, the precise nature of which is often unspecified)","verb, noun","perform, execute","undo, cease"
doctor,A person who is qualified to treat people who are ill,"noun, verb","physician, medical practitioner",patient
document,"A piece of written, printed, or electronic matter that provides information or evidence or that serves as an official record","noun, verb","record, paper",none
dog,"A domesticated carnivorous mammal that typically has a long snout, an acute sense of smell, non-retractable claws, and a barking, howling, or whining voice","noun, verb","canine, hound","cat, feline"
dollar,"The basic monetary unit of the US, Canada, Australia, and certain countries in the Pacific, Caribbean, Southeast Asia, Africa, and South America","noun, verb","buck, currency",none
domestic,Relating to the running of a home or to family relations,"adjective, noun","household, home","wild, undomesticated"
dominate,Have a commanding influence on; exercise control over,"verb, noun","control, rule","submit, follow"
door,"A hinged, sliding, or revolving barrier at the entrance to a building, room, or vehicle","noun, verb","gate, entrance","wall, barrier"
dot,A small round mark or spot,"noun, verb","point, spot",none
double,"Consisting of two equal, identical, or similar parts or things","adjective, noun","twin, dual","single, one"
doubt,A feeling of uncertainty or lack of conviction,"noun, verb","uncertainty, suspicion","certainty, confidence"
down,Towards or in a lower place or position,"adverb, adjective","lower, beneath","up, above"
downstairs,Situated downstairs,"adverb, adjective","ground floor, basement",upstairs
downward,Moving or leading towards a lower place or level,"adjective, noun","descending, falling","upward, rising"
downwards,"Toward a lower place, point, or level",adverb,"down, below","upwards, above"
dozen,A group or set of twelve,"noun, adjective","twelve, group",none
draft,A preliminary version of a piece of writing,"noun, verb","outline, sketch","final, complete"
drag,"Pull (someone or something) along forcefully, roughly, or with difficulty","verb, noun","haul, pull","push, shove"
drama,"A play for theater, radio, or television","noun, verb","play, theater","comedy, farce"
dramatic,Relating to drama or the performance or study of drama,"adjective, noun","theatrical, intense","undramatic, calm"
dramatically,In a way that relates to drama or the performance or study of drama,adverb,"significantly, remarkably","slightly, subtly"
draw,"Produce (a picture or diagram) by making lines and marks on paper with a pencil, pen, etc.","verb, noun","sketch, depict","erase, delete"
drawer,"A boxlike storage compartment without a lid, made to slide horizontally in and out of a desk, chest, or other piece of furniture","noun, verb","compartment, container",none
dream,"A series of thoughts, images, and sensations occurring in a person's mind during sleep","noun, verb","vision, fantasy","reality, actuality"
dress,Put on one's clothes,"verb, noun","clothe, attire","undress, strip"
dressed,Wearing clothes of a specified kind,"adjective, verb","clad, attired","undressed, bare"
dress up,Dress in smart or formal clothes,phrasal verb,"dress formally, attire","dress down, underdress"
drink,Take (a liquid) into the mouth and swallow,"verb, noun","sip, swallow",none
drive,Operate and control the direction and speed of a motor vehicle,"verb, noun","steer, operate",none
driver,A person who drives a vehicle,"noun, verb","chauffeur, motorist",passenger
driving,The control and operation of a motor vehicle,"noun, verb","steering, operation",none
drop,Let or make (something) fall vertically,"verb, noun","let fall, release","raise, lift"
drop out,Withdraw from a course or activity,phrasal verb,"withdraw, quit","continue, persist"
drug,A medicine or other substance which has a physiological effect when ingested or otherwise introduced into the body,"noun, verb","medicine, medication",none
drugstore,A pharmacy or a store where medicinal drugs are dispensed and sold,noun,"pharmacy, chemist",none
drum,A percussion instrument sounded by being struck with sticks or the hands,"noun, verb","percussion, timpani",none
drunk,Affected by alcohol to the extent of losing control of one's faculties or behavior,"adjective, noun","intoxicated, inebriated","sober, clear-headed"
